stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
9276,2649,"Paštas","visos kryptys",54.63595,25.27704,https://www.stops.lt/vilnius/index.html#stop/2649,,
9226,2648,"Rodūnios sodų st.","link stoties",54.63249,25.27778,https://www.stops.lt/vilnius/index.html#stop/2648,,
17216,3656,"Gavaičių st.","į centrą",54.70471,25.14413,https://www.stops.lt/vilnius/index.html#stop/3656,,
17213,3655,"Kriaučiūnai","į centrą",54.71202,25.14936,https://www.stops.lt/vilnius/index.html#stop/3655,,
17203,3652,"Obeliškių st.","iš centro",54.70299,25.14734,https://www.stops.lt/vilnius/index.html#stop/3652,,
17205,3653,"Obeliškių st.","į centrą",54.70284,25.14757,https://www.stops.lt/vilnius/index.html#stop/3653,,
17208,3654,"Vienkiemių st.","iš centro",54.70294,25.14099,https://www.stops.lt/vilnius/index.html#stop/3654,,
7874,5178,"Kuprioniškės","link miesto",54.64104,25.33163,https://www.stops.lt/vilnius/index.html#stop/5178,,
616,4002,"Kinologijos centras","iš miesto",54.64878,25.32131,https://www.stops.lt/vilnius/index.html#stop/4002,,
9682,4355,"Vyturių st.","iš miesto",54.63744,25.32758,https://www.stops.lt/vilnius/index.html#stop/4355,,
329,1612,"Akacijų st.","link Laisvės pr.",54.67818,25.20273,https://www.stops.lt/vilnius/index.html#stop/1612,,
5672,1613,"Akacijų st.","link Erfurto g.",54.67792,25.20181,https://www.stops.lt/vilnius/index.html#stop/1613,,
5693,1619,"Architektų st.","link Laisvės pr.",54.67343,25.21451,https://www.stops.lt/vilnius/index.html#stop/1619,,
5694,1643,"Architektų st.","link Oslo g.",54.67313,25.21339,https://www.stops.lt/vilnius/index.html#stop/1643,,
5701,1606,"Ąžuolo st.","iš centro",54.67994,25.21765,https://www.stops.lt/vilnius/index.html#stop/1606,,
5702,1605,"Ąžuolo st.","link centro",54.67934,25.21701,https://www.stops.lt/vilnius/index.html#stop/1605,,
7350,5193,"Erfurto st.","link Karoliniškių",54.67448,25.20080,https://www.stops.lt/vilnius/index.html#stop/5193,,
4395,1646,"Paukščių takas","link centro",54.67980,25.20734,https://www.stops.lt/vilnius/index.html#stop/1646,,
5697,1620,"Riešutų st.","link Laisvės pr.",54.67653,25.21611,https://www.stops.lt/vilnius/index.html#stop/1620,,
5698,1645,"Riešutų st.","link Oslo g.",54.67600,25.21556,https://www.stops.lt/vilnius/index.html#stop/1645,,
5703,1607,"Ryto st.","link centro",54.68215,25.21371,https://www.stops.lt/vilnius/index.html#stop/1607,,
5704,1608,"Ryto st.","iš centro",54.68268,25.21309,https://www.stops.lt/vilnius/index.html#stop/1608,,
5691,1618,"Šalnos st.","link Laisvės pr.",54.67281,25.20703,https://www.stops.lt/vilnius/index.html#stop/1618,,
5692,1642,"Šalnos st.","link Oslo g.",54.67307,25.20607,https://www.stops.lt/vilnius/index.html#stop/1642,,
639,1634,"Bukčiai","į miestą",54.65501,25.19563,https://www.stops.lt/vilnius/index.html#stop/1634,,
6390,1633,"Neužmirštuolių st.","link Šiltnamių g.",54.65845,25.20379,https://www.stops.lt/vilnius/index.html#stop/1633,,
6391,1632,"Neužmirštuolių st.","link Bukčių",54.65818,25.20248,https://www.stops.lt/vilnius/index.html#stop/1632,,
6388,1648,"Ratilių st.","link Šiltnamių g.",54.66456,25.21403,https://www.stops.lt/vilnius/index.html#stop/1648,,
6389,1647,"Ratilių st.","link Bukčių",54.66525,25.21435,https://www.stops.lt/vilnius/index.html#stop/1647,,
7722,1649,"Užutekio st.","link žiedo",54.65918,25.20776,https://www.stops.lt/vilnius/index.html#stop/1649,,
7723,1650,"Užutekio st.","link Žvėryno",54.65907,25.20740,https://www.stops.lt/vilnius/index.html#stop/1650,,
437,1617,"Erfurto st.","link Laisvės pr.",54.67363,25.20114,https://www.stops.lt/vilnius/index.html#stop/1617,,
7341,5189,"Erfurto st.","iš centro",54.67357,25.20062,https://www.stops.lt/vilnius/index.html#stop/5189,,
