Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS,
Autobusai,1G,23167931603,4152,25276803,54739827,0,352,963,6,59550,KWNZD,A>B,Santariškės,A1G-09-7-241202-ab-1600,
Autobusai,115,23168301543,751,25417378,54680010,0,270,943,0,59549,KZ,A>B,Linksmoji g.,A115-01-7-241202-ba-1630,
Autobusai,115,23168311551,984,25318551,54722263,0,190,951,0,59544,Z,B>A,Antakalnis,A115-02-7-241202-ab-1640,
Autobusai,115,23168321610,981,25366996,54704892,44,230,970,24,59547,Z,B>A,Antakalnis,A115-03-7-241202-ba-1610,
Autobusai,115,23168341601,943,25403171,54693393,39,86,961,99,59549,Z,A>B,Linksmoji g.,A115-05-7-241202-ab-1600,
Autobusai,120,23175281623,558,25340689,54778703,0,218,983,61,59545,KWNZ,B>A,Visoriai,A120-01-7-241202-ba-1620,
Autobusai,120,23175291618,555,25318347,54766021,53,48,978,180,59547,KWNZ,A>B,Kryžiokai,A120-03-7-241202-ab-1620,
Autobusai,120,23175301601,556,25265145,54757622,0,278,961,0,59545,KWNZ,B>A,Visoriai,A120-02-7-241202-ab-1640,
Autobusai,7,23211121606,8037,25258465,54711277,0,56,966,304,59550,KWZ,B>A,Šiaurės miestelis,A7-03-6-241207-ba-1610,
Autobusai,7,23211131621,8032,25222870,54699513,24,20,981,90,59549,KWZ,B>A,Šiaurės miestelis,A7-01-6-241207-ba-1620,
Autobusai,7,23211141610,8027,25240665,54709048,18,260,970,148,59548,KWZ,A>B,Lazdynai,A7-02-6-241207-ab-1610,
Autobusai,7,23211151628,8008,25302922,54719914,0,332,988,-64,59540,KWZ,A>B,Lazdynai,A7-04-6-241207-ab-1630,
Autobusai,7,23211161553,8050,25200078,54675321,41,180,953,213,59550,KWZ,A>B,Lazdynai,A7-05-6-241207-ab-1550,
Autobusai,7,23211171646,8022,25301839,54710871,0,138,1006,0,59532,KWZ,A>B,Lazdynai,A7-06-6-241207-ab-1650,
Autobusai,21,23245911612,3108,25209904,54682557,46,226,972,-65,59547,KWNZ,B>A,Lazdynėliai,A21-01-7-241216-ba-1610,
Autobusai,21,23245921625,3104,25200790,54674382,21,312,985,67,59543,KWNZ,A>B,Centras,A21-02-7-241216-ab-1630,
