Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS,
Autobusai,19,22613591610,4107,25299191,54663971,43,348,970,-32,59546,KWNZ,B>A,Stotis,A19-01-7-240902-ba-1610,
Autobusai,19,22613601624,3034,25300035,54662901,0,138,984,122,59541,KZ,A>B,Salininkai,A19-02-7-240902-ab-1620,
Autobusai,19,22613611556,959,25251930,54614234,0,300,956,0,59548,Z,A>B,Salininkai,A19-03-7-240902-ba-1630,
Autobusai,25,22613661603,4119,25209454,54646181,0,228,963,0,59539,KWNZ,B>A,Žemieji Paneriai,A25-01-7-240902-ab-1630,
Autobusai,35,22613861624,932,25335451,54762449,17,36,984,43,59541,Z,B>A,Žalgirio g.,A35-02-7-240902-ba-1620,
Autobusai,35,22613871621,4116,25279629,54731599,41,352,981,49,59544,KWNZ,A>B1,Ožkiniai,A35-01-7-240902-ab1-1620,
Autobusai,39,22614011628,942,25325752,54726587,0,44,988,-46,59547,Z,A>B,Balžio g.,A39-01-6-240902-ab-1630,
Autobusai,39,22614021626,952,25388903,54777079,27,232,986,23,59544,Z,B>A,Antakalnis,A39-02-6-240902-ba-1630,
Autobusai,50,22614191637,4135,25318356,54722710,0,108,997,0,59550,KWNZ,A>B,Bajorai,A50-01-7-240902-ab-1640,
Autobusai,50,22614201622,4108,25268001,54729319,0,188,982,18,59548,KWNZ,B>A,Antakalnis,A50-02-7-240902-ba-1620,
Autobusai,50,22614211605,961,25267449,54730934,44,346,965,32,59549,Z,A>B,Bajorai,A50-03-7-240902-ab-1610,
Autobusai,58,22614661617,951,25318140,54649585,51,114,977,45,59549,Z,A>B,Grigaičiai,A58-01-7-240902-ab-1620,
Autobusai,58,22614671626,4115,25403019,54655137,60,292,986,-28,59550,KWNZ,B>A,Stotis,A58-02-7-240902-ba-1630,
Autobusai,58,22614681556,954,25286064,54671443,0,248,956,0,59549,Z,B>A,Stotis,A58-03-7-240902-ab-1650,
Autobusai,82,22615141549,4114,25285726,54671213,0,244,949,381,59551,KWNZ,B1>A1,Stotis,A82-02-7-240902-b1a1-1550,
Autobusai,82,22615151605,4120,25227468,54611561,45,282,965,-8,59549,KWNZ,A>B,Juodšiliai,A82-01-7-240902-ab-1610,
Autobusai,89,22615201612,4613,25294776,54678477,32,304,972,79,59546,KWNZ,B>A,Nepriklausomybės aikštė,A89-02-6-240902-ba-1610,
Autobusai,89,22615221614,4547,25292714,54685037,9,110,974,74,59551,KWNZ,A>B,Stotis,A89-03-6-240902-ab-1610,
Autobusai,29,22699441604,4531,25253359,54674029,45,140,964,113,59549,KWNZ,B>A,Vilkpėdė,A29-01-7-240915-ba-1600,
Autobusai,29,22699451621,4511,25231015,54670237,52,290,981,-52,59544,KWNZ,A>B,Grigiškės,A29-03-7-240915-ab-1620,
Autobusai,29,22699461556,4524,25080584,54673793,0,126,956,0,59550,KWNZ,A>B,Grigiškės,A29-02-7-240915-ba-1640,
Autobusai,75,22768871617,3107,25254656,54729968,17,194,977,115,59550,KWNZ,A>B,Pilaitė,A75-01-7-240926-ab-1620,
Autobusai,75,22768881559,4516,25254145,54726235,4,8,959,-42,59550,KWNZ,B>A,Santariškės,A75-02-7-240926-ba-1600,
Autobusai,75,22768891541,790,25171968,54701746,0,210,941,88,59548,KZ,A>B,Pilaitė,A75-03-7-240926-bc-1630,
Autobusai,11,22796701620,7074,25275275,54685618,21,316,980,-90,59546,Z,B>A,Žvėrynas,A11-01-6-241004-ba-1620,
Autobusai,116,22796731611,7044,25210198,54677206,31,246,971,-98,59548,KWZ,A>B,Ungurių g.,A116-01-6-241004-ab-1610,
Autobusai,32,22803371622,3116,25180700,54727494,23,212,982,66,59545,KWNZ,B>A,Žvėrynas,A32-01-6-241004-ba-1620,
Autobusai,32,22803381621,3121,25199720,54712188,51,338,981,33,59546,KWNZ,A>B,Pašilaičiai,A32-02-6-241004-ab-1620,
Autobusai,59,22803461617,765,25214347,54673519,27,218,977,62,59548,KZ,B>A,Grigiškės,A59-01-7-241004-ba-1620,
Autobusai,59,22803471624,3119,25109019,54668448,55,114,984,50,59545,KWNZ,A>B,Žvėrynas,A59-02-7-241004-ab-1620,
Autobusai,87,22850901558,985,25201725,54802539,10,262,958,186,59545,Z,A>B,Šeškinė,A87-01-6-241012-ab-1600,
Autobusai,87,22850911532,962,25266809,54736038,0,324,932,0,59550,Z,B>A,Ateities g.,A87-02-6-241012-ab-1650,
Autobusai,87,22850921621,4513,25228074,54739088,34,320,981,38,59547,KWNZ,B>A,Ateities g.,A87-03-6-241012-ba-1620,
Troleibusai,2,22853291631,1859,25283072,54671671,0,332,991,0,59547,KWNZ,B>A,Saulėtekis,T2-06-7-241012-ba-1630,
Troleibusai,2,22853301619,1701,25310153,54704277,28,194,979,0,59547,KZ,A>B,Stotis,T2-03-7-241012-ab-1620,
Troleibusai,2,22853311549,1681,25340239,54724433,4,192,949,0,59549,KZ,B>A,Saulėtekis,T2-05-7-241012-ab-1640,
Troleibusai,2,22853321624,1710,25278306,54685424,20,18,984,-55,59545,Z,B>A,Saulėtekis,T2-04-7-241012-ba-1620,
Troleibusai,2,22853331556,1700,25340136,54724591,3,190,956,0,59532,KZ,B>A,Saulėtekis,T2-09-7-241012-ab-1640,
Troleibusai,2,22853341610,1705,25306916,54695145,33,42,970,237,59550,KZ,B>A,Saulėtekis,T2-02-7-241012-ba-1610,
Troleibusai,2,22853351631,1849,25331114,54724951,14,304,991,-38,59545,KWNZ,A>B,Stotis,T2-01-7-241012-ab-1630,
Troleibusai,2,22853361613,1680,25294725,54689383,24,250,973,42,59547,KZ,A>B,Stotis,T2-07-7-241012-ab-1610,
Troleibusai,2,22853371617,1736,25302574,54692530,32,56,977,-92,59547,KWNZ,B>A,Saulėtekis,T2-10-7-241012-ba-1620,
Troleibusai,2,22853381625,1735,25316488,54716886,5,190,985,-49,59550,KWNZ,A>B,Stotis,T2-08-7-241012-ab-1630,
Troleibusai,2,22853391603,1726,25324516,54725722,43,42,963,57,59545,KWNZ,B>A,Saulėtekis,T2-11-7-241012-ba-1600,
Troleibusai,2,22853401601,1698,25282311,54676062,20,124,961,7,59545,KZ,A>B,Stotis,T2-12-7-241012-ab-1600,
Troleibusai,7,22854331551,2713,25218945,54734692,0,88,951,0,59537,KZ,B>A,Pašilaičiai,T7-12-7-241012-ab-1650,
Troleibusai,7,22854341609,2778,25252451,54688672,18,88,969,97,59548,KWNZ,A>B,Stotis,T7-04-7-241012-ab-1610,
Troleibusai,7,22854351622,2688,25216265,54705037,37,146,982,25,59539,KZ,A>B,Stotis,T7-06-7-241012-ab-1620,
Troleibusai,7,22854361619,2712,25251683,54690865,21,354,979,-142,59550,KZ,B>A,Pašilaičiai,T7-01-7-241012-ba-1620,
Troleibusai,7,22854371626,2773,25278606,54679245,30,344,986,33,59542,KWNZ,B>A,Pašilaičiai,T7-02-7-241012-ba-1630,
Troleibusai,7,22854381612,2708,25243984,54699084,18,280,972,87,59547,KZ,B>A,Pašilaičiai,T7-10-7-241012-ba-1610,
Troleibusai,7,22854391628,2779,25222654,54720447,19,170,988,-52,59552,KWNZ,A>B,Stotis,T7-07-7-241012-ab-1630,
Troleibusai,7,22854401605,2755,25215954,54705800,0,342,965,10,59550,KWNZ,B>A,Pašilaičiai,T7-05-7-241012-ba-1610,
Troleibusai,7,22854411558,2772,25218744,54726797,30,340,958,-3,59539,KWNZ,B>A,Pašilaičiai,T7-03-7-241012-ba-1600,
Troleibusai,7,22854421556,2785,25284891,54670766,4,50,956,0,59538,KWNZ,A>B,Stotis,T7-08-7-241012-ba-1630,
Troleibusai,7,22854431544,2789,25219271,54734784,0,80,944,0,59543,KWNZ,B>A,Pašilaičiai,T7-09-7-241012-ab-1640,
Troleibusai,7,22854441603,2756,25278652,54678918,21,146,963,-67,59549,KZ,A>B,Stotis,T7-11-7-241012-ab-1600,
Troleibusai,7,22854451615,2690,25247414,54698465,28,104,975,-36,59538,KZ,A>B,Stotis,T7-13-7-241012-ab-1620,
Troleibusai,19,22855081626,2717,25317087,54719089,4,192,986,-60,59546,KZ,B>A,Pašilaičiai,T19-04-7-241012-ba-1630,
Troleibusai,19,22855091557,2783,25223319,54699801,3,100,957,29,59549,KWNZ,B>A,Pašilaičiai,T19-02-7-241012-ba-1600,
Troleibusai,19,22855101612,2781,25294141,54695384,36,260,972,56,59545,KWNZ,B>A,Pašilaičiai,T19-01-7-241012-ba-1610,
Troleibusai,19,22855111540,2693,25338245,54723850,21,92,940,0,59545,KZ,A>B,Saulėtekis,T19-03-7-241012-ba-1640,
Troleibusai,19,22855121610,2750,25273231,54696747,0,122,970,118,59550,KWNZ,A>B,Saulėtekis,T19-06-7-241012-ab-1610,
Troleibusai,19,22855131555,2782,25314774,54711387,8,2,955,109,59545,KWNZ,A>B,Saulėtekis,T19-05-7-241012-ab-1600,
Troleibusai,19,22855141626,2780,25230756,54716491,2,198,986,92,59540,KWNZ,A>B,Saulėtekis,T19-07-7-241012-ab-1630,
Troleibusai,19,22855151543,1721,25234407,54728394,2,210,943,0,59540,KWNZ,B>A,Pašilaičiai,T19-08-7-241012-ab-1640,
Autobusai,15,22861291612,7020,25294297,54737126,25,352,972,124,59551,KWZ,A>B,Turniškės,A15-01-6-241012-ab-1610,
Autobusai,31,22862361542,4194,25440718,54695308,0,318,942,0,59542,KWNZD,A>B,Naujoji Vilnia,A31-02-7-241012-ba-1630,
Autobusai,31,22862371611,4183,25345805,54664915,13,256,971,-10,59546,KWNZD,B>A,Stotis,A31-04-7-241012-ba-1610,
Autobusai,31,22862381631,4159,25282856,54671836,0,330,991,57,59549,KWNZD,A>B,Naujoji Vilnia,A31-03-7-241012-ab-1630,
Autobusai,31,22862391609,4163,25387770,54677361,33,86,969,-15,59549,KWNZD,A>B,Naujoji Vilnia,A31-01-7-241012-ab-1610,
Autobusai,74,22862721621,4126,25366377,54691403,0,272,981,39,59544,KWNZ,B>A,Stotis,A74-01-7-241012-ba-1620,
Autobusai,74,22862731625,4030,25303062,54677053,29,98,985,13,59551,KZ,A>B,Parko g.,A74-03-7-241012-ab-1630,
Autobusai,74,22862741603,4127,25429036,54685445,0,94,963,0,59550,KWNZ,A>B,Parko g.,A74-02-7-241012-ba-1640,
Autobusai,27,22911571550,936,25431614,54702322,0,334,950,0,59538,Z,A>B,Arimų g.,A27-01-7-241022-ba-1630,
Autobusai,34,22911661622,4118,25268919,54737822,31,238,982,-45,59542,KZ,B>A,Stotis,A34-01-7-241022-ba-1620,
Autobusai,34,22911671544,4111,25285805,54671359,0,246,944,0,59550,KWNZ,B>A,Stotis,A34-03-7-241022-ab-1640,
Autobusai,34,22911681556,4136,25266963,54737133,12,62,956,21,59545,KWNZ,A>B,Visoriai,A34-02-7-241022-ab-1600,
Autobusai,37,22911711623,4129,25309252,54684820,2,128,983,108,59542,KWNZ,A>B,Rokantiškės,A37-01-7-241022-ab-1620,
Autobusai,49,22911911621,4521,25196677,54670367,31,322,981,126,59547,KWNZ,B>A,Ateities g.,A49-01-7-241022-ba-1620,
Autobusai,49,22911921613,966,25264554,54702901,27,214,973,41,59547,Z,A>B,Bukčiai,A49-02-7-241022-ab-1610,
Autobusai,49,22911931539,965,25266486,54736209,0,322,939,0,59544,Z,B>A,Ateities g.,A49-03-7-241022-ab-1640,
Autobusai,49,22911941545,4514,25215756,54666949,6,206,945,74,59550,KWNZ,A>B,Bukčiai,A49-04-7-241022-ab-1550,
Autobusai,63,22912081621,4527,25183675,54710273,33,284,981,-9,59549,KWNZ,A>B,Karveliškės,A63-01-6-241022-ab-1620,
Autobusai,63,22912091624,947,25162740,54710523,26,98,984,-4,59543,Z,B>A,Žvėrynas,A63-02-6-241022-ba-1620,
Autobusai,69,22912211606,3038,25283450,54703836,18,288,966,-19,59548,KZ,A>B,Šiltnamių g.,A69-02-7-241022-ab-1610,
Autobusai,69,22912221517,4504,25221552,54666848,0,106,917,0,59528,KWNZ,A>B,Šiltnamių g.,A69-01-7-241022-ba-1640,
Autobusai,69,22912231557,4518,25284557,54706124,25,16,957,8,59543,KWNZ,B>A,Bajorai,A69-03-7-241022-ba-1600,
Autobusai,69,22912241531,945,25256844,54757637,0,110,931,0,59551,Z,B>A,Bajorai,A69-04-7-241022-ab-1640,
Autobusai,26,22928661627,7058,25274037,54805616,0,246,987,133,59549,KWZ,B>A,Ozo g.,A26-01-6-241022-ba-1630,
Autobusai,67,22973621632,956,25427313,54685532,5,272,992,37,59550,Z,A>B,Mickūnai,A67-01-7-241030-ab-1630,
Autobusai,17,23013321609,4128,25396764,54798767,33,50,969,18,59542,KWNZ,A>B,Antaviliai,A17-01-7-241104-ba-1630,
Autobusai,17,23013331553,958,25318313,54722492,0,174,953,0,59547,Z,B>A,Antakalnis,A17-02-7-241104-ab-1640,
Autobusai,57,23040691613,7062,25250270,54754260,23,292,973,10,59538,KWZ,A>B,Bukiškis,A57-01-6-241118-ab-1610,
Autobusai,57,23040701607,7042,25255864,54734546,40,240,967,-22,59548,KWZ,B>A,Fabijoniškės,A57-02-6-241118-ba-1610,
Autobusai,51,23081671554,7057,25198309,54577187,0,234,954,0,59549,KWZ,A>B,Pagiriai,A51-01-6-241118-ba-1640,
Autobusai,51,23081681626,7039,25173853,54631349,17,124,986,17,59546,KWZ,A>B,Pagiriai,A51-02-6-241118-ab-1630,
Autobusai,51,23081691606,7041,25119385,54625650,71,70,966,125,59549,KWZ,B>A,Žemieji Paneriai,A51-03-6-241118-ba-1610,
Autobusai,51,23081701604,7002,25066920,54625774,0,272,964,0,59536,KWZ,A1>B1,Fabriko g.,A51-04-6-241118-b1a1-1640,
Autobusai,4G,23081911628,8045,25186052,54707219,19,92,988,-27,59549,KWZ,A>B,Saulėtekis,A4G-09-6-241118-ab-1630,
Autobusai,4G,23081921543,8006,25341102,54724764,0,204,943,0,59544,KWZ,A>B,Saulėtekis,A4G-01-6-241118-ba-1640,
Autobusai,4G,23081931604,8013,25221010,54699543,0,252,964,-83,59547,KWZ,B>A,Pilaitė,A4G-05-6-241118-ba-1600,
Autobusai,4G,23081941608,8016,25295834,54695538,24,80,968,79,59548,KWZ,A>B,Saulėtekis,A4G-02-6-241118-ab-1610,
Autobusai,4G,23081951615,8044,25299582,54696831,14,226,975,153,59548,KWZ,B>A,Pilaitė,A4G-08-6-241118-ba-1620,
Autobusai,4G,23081961543,8048,25172695,54703290,0,128,943,0,59539,KWZ,B>A,Pilaitė,A4G-03-6-241118-ab-1640,
Autobusai,4G,23081971555,8017,25190368,54708639,54,180,955,10,59549,KWZ,B>A,Pilaitė,A4G-04-6-241118-ba-1600,
Autobusai,4G,23081981625,8025,25315093,54712515,14,192,985,-30,59548,KWZ,B>A,Pilaitė,A4G-06-6-241118-ba-1630,
Autobusai,4G,23081991558,8004,25310898,54705397,0,6,958,305,59538,KWZ,A>B,Saulėtekis,A4G-07-6-241118-ab-1600,
Autobusai,4G,23082001618,8003,25250875,54699642,50,96,978,30,59543,KWZ,A>B,Saulėtekis,A4G-10-6-241118-ab-1620,
Troleibusai,6,23118141615,1857,25262670,54680716,2,72,975,-48,59544,KWNZ,B>A,Žirmūnai,T6-04-7-241129-ba-1620,
Troleibusai,6,23118151540,1851,25295697,54726912,9,292,940,0,59548,KWNZ,B>A,Žirmūnai,T6-05-7-241129-ab-1640,
Troleibusai,6,23118161542,1845,25201825,54643671,0,226,942,0,59549,KWNZ,A>B,Žemieji Paneriai,T6-06-7-241129-ba-1640,
Troleibusai,6,23118171607,1844,25278190,54685144,16,22,967,-30,59547,KWNZ,B>A,Žirmūnai,T6-09-7-241129-ba-1610,
Troleibusai,6,23118181551,1832,25288036,54715042,0,80,951,56,59541,KWNZ,B>A,Žirmūnai,T6-01-7-241129-ba-1550,
Troleibusai,6,23118191626,1843,25288122,54715127,21,256,986,-62,59540,KWNZ,A>B,Žemieji Paneriai,T6-02-7-241129-ab-1630,
Troleibusai,6,23118201627,1831,25223285,54653559,23,46,987,-7,59546,KWNZ,B>A,Žirmūnai,T6-10-7-241129-ba-1630,
Troleibusai,6,23118221600,1858,25259445,54679788,0,230,960,106,59551,KWNZ,A>B,Žemieji Paneriai,T6-11-7-241129-ab-1600,
Troleibusai,6,23118231559,1839,25281540,54694300,10,14,959,162,59544,KWNZ,B>A,Žirmūnai,T6-08-7-241129-ba-1600,
Troleibusai,6,23118241611,1826,25279254,54690147,21,118,971,125,59549,KWNZ,A>B,Žemieji Paneriai,T6-07-7-241129-ab-1610,
Troleibusai,6,23118251550,1834,25236975,54669064,17,196,950,289,59541,KWNZ,A>B,Žemieji Paneriai,T6-12-7-241129-ab-1550,
Troleibusai,10,23118421545,1853,25340753,54724697,0,190,945,0,59528,KWNZ,B>A,Saulėtekis,T10-01-7-241129-ab-1640,
Troleibusai,10,23118431604,1854,25281676,54696538,7,190,964,212,59550,KWNZ,A>B,Naujininkai,T10-03-7-241129-ab-1600,
Troleibusai,10,23118441621,1856,25271037,54691617,0,42,981,45,59542,KWNZ,B>A,Saulėtekis,T10-05-7-241129-ba-1620,
Troleibusai,10,23118451602,1836,25287691,54714996,15,88,962,291,59538,KWNZ,B>A,Saulėtekis,T10-02-7-241129-ba-1600,
Troleibusai,10,23118461547,1835,25269515,54671368,22,170,947,290,59544,KWNZ,A>B,Naujininkai,T10-04-7-241129-ab-1550,
Troleibusai,10,23118471621,1848,25314830,54728091,22,244,981,73,59549,KWNZ,A>B,Naujininkai,T10-06-7-241129-ab-1620,
Autobusai,2G,23148181626,4180,25271532,54672164,35,254,986,53,59539,KWNZ,B>A,Santariškės,A2G-02-7-241129-ba-1630,
Autobusai,2G,23148191524,4197,25281098,54756350,0,6,924,0,59545,KWNZD,B>A,Santariškės,A2G-03-7-241129-ab-1640,
Autobusai,2G,23148201549,4171,25278387,54745726,44,14,949,-143,59543,KWNZD,B>A,Santariškės,A2G-01-7-241129-ba-1550,
Autobusai,2G,23148211603,4179,25227885,54712193,36,38,963,45,59540,KWNZD,B>A,Santariškės,A2G-04-7-241129-ba-1600,
Autobusai,2G,23148221614,4155,25207017,54682825,43,6,974,-25,59549,KWNZD,B>A,Santariškės,A2G-05-7-241129-ba-1610,
Autobusai,2G,23148231613,4154,25233522,54725630,0,178,973,220,59547,KWNZD,A>B,Stotis,A2G-06-7-241129-ab-1610,
Autobusai,2G,23148241537,4162,25281265,54756341,0,6,937,0,59535,KWNZD,B>A,Santariškės,A2G-07-7-241129-ab-1700,
Autobusai,2G,23148251626,4164,25275010,54739354,21,272,986,39,59543,KWNZD,A>B,Stotis,A2G-08-7-241129-ab-1630,
Autobusai,2G,23148261551,4191,25250807,54675167,17,52,951,266,59550,KWNZD,A>B,Stotis,A2G-09-7-241129-ab-1550,
Autobusai,2G,23148271601,4167,25219436,54677591,57,120,961,2,59545,KWNZD,A>B,Stotis,A2G-10-7-241129-ab-1600,
Autobusai,3G,23148891629,4571,25239447,54731152,15,160,989,1,59544,KWNZD,A>B,Oro uostas,A3G-01-7-241129-ab-1630,
Autobusai,3G,23148901545,4573,25241280,54740154,0,158,945,0,59549,KWNZD,B>A,Fabijoniškės,A3G-03-7-241129-ab-1650,
Autobusai,3G,23148911551,4568,25271592,54655925,41,192,951,225,59551,KWNZD,A>B,Oro uostas,A3G-04-7-241129-ab-1550,
Autobusai,3G,23148921621,4555,25268806,54674015,0,350,981,-36,59542,KWNZD,B>A,Fabijoniškės,A3G-02-7-241129-ba-1620,
Autobusai,3G,23148931557,4590,25244523,54720963,0,342,957,86,59546,KZ,B>A,Fabijoniškės,A3G-05-7-241129-ba-1600,
Autobusai,3G,23148941608,4582,25280072,54691676,0,6,968,125,59548,KWNZD,B>A,Fabijoniškės,A3G-07-7-241129-ba-1610,
Autobusai,3G,23148951629,4558,25273140,54647611,5,348,989,-54,59547,KWNZD,B>A,Fabijoniškės,A3G-06-7-241129-ba-1630,
Autobusai,3G,23148961601,4586,25267813,54676268,39,170,961,54,59551,KWNZD,A>B,Oro uostas,A3G-08-7-241129-ab-1600,
Autobusai,3G,23148971620,4565,25247212,54715420,0,162,980,144,59542,KWNZD,A>B,Oro uostas,A3G-09-7-241129-ab-1620,
Autobusai,3G,23148981536,4560,25241299,54739908,0,154,936,0,59534,KWNZD,B>A,Fabijoniškės,A3G-10-7-241129-ab-1640,
Autobusai,3G,23148991610,4577,25273886,54696541,52,122,970,342,59550,KWNZD,A>B,Oro uostas,A3G-11-7-241129-ab-1610,
Autobusai,6G,23149161622,4161,25366555,54691419,0,274,982,-4,59547,KWNZD,A1>B1,Žaliasis tiltas,A6G-01-7-241129-a1b1-1620,
Autobusai,6G,23149171550,4166,25431007,54685537,0,358,950,0,59532,KWNZD,B1>A1,Parko g.,A6G-02-7-241129-a1b1-1640,
Autobusai,6G,23149181601,4153,25430951,54685384,0,48,961,0,59528,KWNZD,B1>A1,Parko g.,A6G-04-7-241129-a1b1-1650,
Autobusai,6G,23149191623,4193,25309147,54684877,0,130,983,59,59544,KWNZD,B1>A1,Parko g.,A6G-03-7-241129-b1a1-1620,
Autobusai,6G,23149201609,4189,25288535,54688316,0,262,969,28,59546,KWNZD,A1>B1,Žaliasis tiltas,A6G-05-7-241129-b1a1-1640,
Autobusai,6G,23149211612,4160,25410737,54692292,26,172,972,12,59547,KWNZD,B1>A1,Parko g.,A6G-06-7-241129-b1a1-1610,
Autobusai,10,23149351600,4137,25286358,54688912,18,140,960,197,59542,KWNZ,A>B,Markučiai,A10-04-7-241129-ab-1600,
Autobusai,10,23149361604,4134,25280585,54725697,42,350,964,-116,59550,KWNZ,B>A,Fabijoniškės,A10-02-7-241129-ba-1600,
Autobusai,10,23149371546,4109,25322549,54674380,0,22,946,0,59548,KWNZ,A>B,Markučiai,A10-03-7-241129-ba-1640,
Autobusai,10,23149381617,937,25286695,54714528,15,180,977,-59,59546,Z,A>B,Markučiai,A10-05-7-241129-ab-1620,
Autobusai,10,23149391551,4110,25247192,54731252,0,232,951,60,59549,KWNZ,B>A,Fabijoniškės,A10-01-7-241129-ab-1650,
Autobusai,10,23149401633,986,25245193,54730838,11,172,993,-81,59549,Z,A>B,Markučiai,A10-06-7-241129-ab-1630,
Autobusai,10,23149411621,4106,25287219,54687218,30,32,981,-30,59543,KWNZ,B>A,Fabijoniškės,A10-07-7-241129-ba-1620,
Autobusai,43,23149491551,8034,25212668,54709060,0,116,951,0,59548,KWZ,B>A,Justiniškės,A43-02-6-241129-ab-1640,
Autobusai,43,23149501610,8029,25281157,54693790,12,208,970,-194,59548,KWZ,A>B,Centras,A43-01-6-241129-ab-1610,
Autobusai,43,23149511608,8047,25244081,54714836,9,236,968,394,59549,KWZ,B>A,Justiniškės,A43-03-6-241129-ba-1610,
Autobusai,43,23149521624,8033,25280573,54692640,0,22,984,153,59547,KWZ,B>A,Justiniškės,A43-04-6-241129-ba-1620,
Autobusai,46,23149631647,4506,25231172,54731681,34,302,1007,-226,61462,KWNZ,B>A,Pašilaičiai,A46-01-7-241129-ba-1650,
Autobusai,46,23149641557,4505,25219423,54735097,0,258,957,0,59543,KWNZ,B>A,Pašilaičiai,A46-02-7-241129-ab-1640,
Autobusai,46,23149651611,4535,25236544,54729405,24,358,971,82,59550,KWNZ,B>A,Pašilaičiai,A46-03-7-241129-ba-1610,
Autobusai,46,23149661627,4517,25275278,54696149,30,302,987,130,59548,KWNZ,B>A,Pašilaičiai,A46-04-7-241129-ba-1630,
Autobusai,52,23149731628,3120,25195340,54755923,16,44,988,33,59541,KWNZ,B4>A,Centras,A52-01-6-241129-b4a-1630,
Autobusai,52,23149741627,3102,25280757,54693059,22,22,987,-20,59550,KWNZ,A>B4,Tarandė,A52-02-6-241129-ab4-1630,
Autobusai,53,23149861636,4580,25283011,54670720,0,218,996,0,59538,KWNZD,B>A,Fabijoniškės,A53-09-7-241129-ba-1640,
Autobusai,53,23149871617,4601,25279972,54713270,32,78,977,45,59546,KWNZD,A>B,Stotis,A53-10-7-241129-ab-1620,
Autobusai,53,23149881607,4595,25281724,54695204,0,176,967,43,59551,KZ,A>B,Stotis,A53-04-7-241129-ab-1610,
Autobusai,53,23149891540,4581,25241422,54739991,0,154,940,0,59522,KWNZD,B>A,Fabijoniškės,A53-02-7-241129-ab-1640,
Autobusai,53,23149901601,4579,25257123,54711722,0,330,961,46,59544,KWNZD,B>A,Fabijoniškės,A53-06-7-241129-ba-1600,
Autobusai,53,23149911627,4583,25254394,54728353,29,186,987,28,59545,KWNZD,A>B,Stotis,A53-05-7-241129-ab-1630,
Autobusai,53,23149921620,4562,25279938,54688160,25,8,980,72,59544,KWNZD,B>A,Fabijoniškės,A53-07-7-241129-ba-1620,
Autobusai,53,23149941629,4554,25284665,54674047,0,42,989,2,59547,KWNZD,B>A,Fabijoniškės,A53-03-7-241129-ba-1630,
